canonical_smiles	molecule_chembl_id	standard_type	standard_value	type	value
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1	CHEMBL68920	IC50	41.0	IC50	0.041
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1	CHEMBL68920	IC50	300.0	IC50	0.3
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1	CHEMBL68920	IC50	7820.0	IC50	7.82
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21	CHEMBL69960	IC50	170.0	IC50	0.17
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21	CHEMBL69960	IC50	40.0	IC50	0.04
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21	CHEMBL69960	IC50	440.0	IC50	0.44
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12	CHEMBL137635	IC50	9300.0	IC50	9.3
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1	CHEMBL306988	IC50	500000.0	IC50	500.0
O=C(O)/C=C/c1ccc(O)cc1	CHEMBL66879	IC50	3000000.0	IC50	3000.0
O=C(O)/C=C/c1ccc(O)cc1	CHEMBL66879	Ki	1000000.0	Ki	1000.0
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]	CHEMBL77085	IC50	96000.0	IC50	96.0
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]	CHEMBL77085	Ki	24000.0	Ki	24.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21	CHEMBL443268	IC50	5310.0	IC50	5.31
COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O	CHEMBL76979	IC50	264000.0	IC50	264.0
COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O	CHEMBL76979	Ki	700000.0	Ki	700.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1	CHEMBL76589	IC50	125.0	IC50	0.125
N#CC(C#N)=Cc1ccc(O)c(O)c1	CHEMBL76904	IC50	35000.0	IC50	35.0
N#CC(C#N)=Cc1ccc(O)c(O)c1	CHEMBL76904	Ki	11000.0	Ki	11.0
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	CHEMBL1009	IC50	900000.0	IC50	900.0
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1	CHEMBL304271	IC50	0.45	IC50	0.00045
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O	CHEMBL296407	IC50	10000.0	IC50	10.0
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O	CHEMBL296407	Ki	3500.0	Ki	3.5
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1	CHEMBL309625	IC50	60000.0	IC50	60.0
COc1ccc(NN=C(C#N)C#N)cc1	CHEMBL77825	IC50	600000.0	IC50	600.0
COc1cc(C=C(C#N)C#N)cc(OC)c1O	CHEMBL421877	IC50	850000.0	IC50	850.0
COc1cc(C=C(C#N)C#N)cc(OC)c1O	CHEMBL421877	Ki	300000.0	Ki	300.0
Cc1ccc(/C=C(\C#N)C(=O)O)cc1	CHEMBL77278	Ki	1350000.0	Ki	1350.0
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1	CHEMBL310798	IC50	3000.0	IC50	3.0
