Rank,SMILES,Mean_pIC50_Predicted,MW,LogP,HBD,HBA,QED,SA_Score,Ro5_Violations
1,CC1C2C(CC3CC3C3C4C(CCCNC5CC5CC56CC5CC5C(C)C56)C34)C12,6.647,391.64,5.46,1,1,0.488,5.94,1
2,CCCCC(F)CCCCCC1CC1NCCCN1CC1CC12CC1CC1C(C)C12,6.442,418.69,6.2,1,2,0.237,5.16,1
3,CCCCC1C2C(CCCCCC3C4C3C43CC3CCC3CN3OC34CC3CC3C(C)C34)C12,6.426,449.72,6.94,0,2,0.21,6.37,1
4,CC1C2CC3CC3(CC3CC3CCN3CC34C3C(CCCCCC5C6C(CCCCO)C56)C34)C12,6.347,463.75,6.23,1,2,0.23,6.25,1
5,CCCCCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3CC34CC3CC3C(C)C34)C12,6.333,460.79,8.99,0,0,0.214,6.19,1
6,CCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3CC34CC3CC3C(C)C34)C12,6.332,418.71,7.82,0,0,0.283,6.29,1
7,CCC1C2C(CCCNCC3C4C3C43CC3CCC3CC3CC34CC3CC3C(C)C34)C12,6.313,419.7,6.24,1,1,0.369,6.38,1
8,CCC1C2C(CCCNCC(F)CCCCCC3CC3CC34CC3CC3C(C)C34)C12,6.295,415.68,6.87,1,1,0.288,5.43,1
9,CCC1C2C(CC3CC3C3C4C(CCCCN5CC5CC56CC5CC5C(C)C56)C34)C12,6.262,405.67,5.94,0,1,0.303,5.86,1
10,CCCC1C2C(CNCNNCCCN3CC3CCC3CC3CC3CCCC4C(C)C34)C12,6.049,442.74,4.48,3,4,0.143,5.51,0
11,CCCCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3CC3CCCC4C(C)C34)C12,5.928,448.78,8.99,0,0,0.233,5.9,1
12,CCC1C2C(CCCCCCC3NC34CC4CCC3CC3CC3CCCC4C(C)C34)C12,5.912,423.73,7.45,1,1,0.241,5.99,1
13,CCC1C2C(CCNCCC3C4C3C43CN3CCN3CC3CC3NCCC4C(C)C34)C12,5.876,424.68,2.51,2,4,0.372,6.26,0
14,CC1C2CCCC(CC3CC3CCC3CC34C3C(CCCCCC5C6C(C)N56)C34)C12,5.855,407.69,6.76,0,1,0.27,6.08,1
15,CCC1C2C(CCCCCC3CC3N3CC3CCC3CC3CC34CC3CC3C(N)C34)C12,5.854,422.7,5.7,1,2,0.305,5.82,1
16,CCCC1C2C(CCCCCCC3NC34CC4CCC3CC3CC3CCCC4C(C)C34)C12,5.842,437.76,7.84,1,1,0.217,5.99,1
17,CCC1C2C(CCCCCN3C4C3C43CC3CCC3CC3CC34CC3CC3C(C)C34)C12,5.8,419.7,6.62,0,1,0.254,6.32,1
18,CCCCCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3CC3CCCC4C(C)C34)C12,5.784,462.81,9.38,0,0,0.213,5.86,1
19,CCC1C2C(CC3CC3C3C4C(CCCCC5CC5CC56CC5CC5C(C)C56)C34)C12,5.778,404.68,7.29,0,0,0.317,5.88,1
20,CCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3CC3CCCC4C(C)C34)C12,5.776,420.73,8.21,0,0,0.279,5.95,1
21,CCC1C2C(CC3CC3C3C4C(CCCCC5CC5CC56CC5CC5C(C)C56)C34)C12,5.776,404.68,7.29,0,0,0.317,5.88,1
22,CCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3CC3CCCC4C(C)C34)C12,5.775,420.73,8.21,0,0,0.279,5.95,1
23,CCCCCC1C2C(CCCCCC3C4C3C43CC3CCC3CN3CC3CCCC4C(C)C34)C12,5.725,463.79,8.04,0,1,0.175,5.83,1
24,CCCC(Cl)CCCCCCC1C2C(C(F)CCC3CC3CC34CC3CC3C(C)C34)C12,5.704,449.14,8.66,0,0,0.173,5.58,1
25,CC1C2C(CCCCCCN3CC34CC4CCC3CC3CC3CCCC4C(N)C34)C12,5.704,410.69,5.7,1,2,0.33,5.97,1
26,CCCCC1C2C(CCCCCCCC3(F)CC3CCC3CC3CC34CC3CC3C(C)C34)C12,5.703,454.76,9.23,0,0,0.204,5.63,1
27,CCCCC1C2C(CCCCCN3C4C3C43CC3CNC3CC3CC34NC3CC3C(C)C34)C12,5.694,449.73,4.67,2,3,0.299,6.39,0
28,CCCCC1C2C(CCCCCC3C4C(C(F)CCC5CC5CC56CC5CC5C(C)C56)C34)C12,5.656,452.74,8.55,0,0,0.218,5.78,1
29,CCC1C2C(CCCCCC3CC3CCCCC3CC3CC34CC3CC3C(C)C34)C12,5.627,408.71,8.35,0,0,0.253,5.39,1
30,CCC1C2C(CCCCCC3CC3CCCCC3CC3CC34CC3CC3C(C)C34)C12,5.627,408.71,8.35,0,0,0.253,5.39,1
31,CCC1C2C(CCCCCC3CC3CCCCC3CC3CC34CC3CC3C(C)C34)C12,5.625,408.71,8.35,0,0,0.253,5.39,1
32,CCCC1C2C(CCCNCC3C4C3C43CC3CCC3CN3NC3CNCC4C(C)C34)C12,5.601,438.7,3.35,3,4,0.305,6.33,0
33,CCC(Cl)CCCCCC1CC1CCCCC1CC1CC12CC1CC1C(C)C12,5.591,405.11,8.47,0,0,0.201,5.18,1
34,CCCCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3CCC3C(Cl)C3NOF)C12,5.574,478.14,7.71,1,2,0.131,6.19,1
35,CCC1C2C(CC3CC3N3C4C(CCCCC5CC5CC56CC5CC5C(C)C56)C43)C12,5.56,405.67,6.23,0,1,0.291,5.98,1
36,CCC1C2C(CCCCCC3CC3CNCCC3CC3CC34CC3CC3C(C)C34)C12,5.541,409.7,6.77,1,1,0.312,5.48,1
37,CCCC(Cl)CCCCCCC1CC1CCCCC1CC1CC12CC1CC1C(C)C12,5.443,433.16,9.25,0,0,0.168,5.13,1
38,CCCCC1C2C(CCCCCNCCC3NC3CCC3CC3CC(CCF)C3CC3F)C12,5.44,464.73,6.69,2,2,0.155,5.44,1
39,CNCCC1C2C(CCCCCC3C4C3C43CC3CCC3NC3CC3CCNC4C(F)C34)C12,5.369,455.71,4.38,3,3,0.269,6.4,0
40,CCCCN1CN1CC1CC1CCNCC1C2C(C3CC3CC3C4C(CC)C34)C12,5.345,397.65,4.31,1,3,0.348,5.59,0
41,CCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3CCN3C(C)C3CCF)C12,5.341,427.69,6.96,0,1,0.202,6.05,1
42,CCCCCC1C2C(CCCCCC3C4C3C43CC3CCC3CC3CC3NCCC4C(C)C34)C12,5.336,463.79,7.94,1,1,0.243,6.01,1
43,CCCCCC1C2C(CCCCCC3C4C3C43CC3CNC3CC3NC3CCCC4C(C)C34)C12,5.286,464.78,6.65,2,2,0.265,5.9,1
44,CCC1C2C(CC3CC3CC3CC3CNCCC3CC3CC34CC3CC3C(C)C34)C12,5.266,407.69,6.24,1,1,0.378,5.88,1
45,CCCCN1C2C(CCCCCC3C4C3C43CC3CCC3NN3CCC3C(C)C3CCF)C21,5.245,457.72,5.86,1,3,0.219,6.2,1
46,CCCCC1C2C(CNCCCCC3CC34CC4CCC3CC3CC3CCNC4C(C)C34)C12,5.244,452.77,6.51,2,2,0.277,6.04,1
47,CCCCCC1C2C(CCCNCCCCC3CC3CCC3CC3CC3CCCC4C(C)C34)C12,5.199,467.83,8.72,1,1,0.199,5.07,1
48,CCCC1C2C(CCCCCCC3CC34NC4NCN3NC3CC(CCCl)C3CC3C)C12,5.199,463.15,5.29,3,4,0.156,6.33,1
49,CCCCCCC1C2C(CCNCCC3C4C3C43CC3CCC3CC3CC3NCCC4C(C)C34)C12,5.198,478.81,6.75,2,2,0.24,6.1,1
50,CCC1C2C(CCCCCC3C4C3C43CC3CCN3CC3NC34CC3CC3C(C)C34)C12,5.189,420.69,5.39,1,2,0.336,6.43,1
51,CCCCC1C2C(CCCCCCCOC3CC3CCC3CC3CC3CCCC4C(C)C34)C12,5.157,454.78,8.9,0,1,0.199,5.07,1
52,CCC1C2C(CCCCCC(F)CC3CC3CCC3CC3CC3CCCC4C(C)C34)C12,5.156,428.72,8.69,0,0,0.243,5.38,1
53,CC1C2C(CC3CC3N3C4C(CCCCC5CC5CC5CCN6C(C)C56)C43)C12,5.124,380.62,4.64,0,2,0.402,5.75,0
54,CCC1C2C(CCNCCCC3CC34CC4CCC3CN3CC(C)C3C(C)C3CF)C12,5.11,430.7,5.63,1,2,0.268,6.18,1
